"Name","Hometown","Year","Sport"
"Jerry Houston","Dolton, Ill.",2013,"baseball"
"Brett Peel","St. Charles, Mo.",2013,"baseball"
"Shane Benes","Town and Country, Mo.",2013,"baseball"
"Case Munson","St. Charles, Mo.",2013,"baseball"
"Brett Bond","St. Louis, Mo.",2013,"baseball"
"Trey Harris","Powder Springs, Ga.",2013,"baseball"
"Logan Bone","Festus, Mo.",2013,"baseball"
"Ryan Howard","St. Charles, Mo.",2013,"baseball"
"Jace James","Oklahoma City, Ok.",2013,"baseball"
"Tanner Houck","Collinsville, Ill.",2013,"baseball"
"Jack Klages","St. Louis, Mo.",2013,"baseball"
"Breckin Williams","Oronogo, Mo.",2013,"baseball"
"Zach Lavy","Auxvasse, Mo.",2013,"baseball"
"Alex Del Rio","Munster, Ind.",2013,"baseball"
"Josh Lester","Columbus, Ga.",2013,"baseball"
"Alec Rash","Adel, Iowa",2013,"baseball"
"Jake Ivory","St. Charles, Mo.",2013,"baseball"
"Chris Akmon","Scottsdale, Ariz.",2013,"baseball"
"Reggie McClain","Duluth, Ga.",2013,"baseball"
"Jake Ring","Ingleside, Ill.",2013,"baseball"
"Nolan Gromacki","Smithville, Mo.",2013,"baseball"
"Liam Carter","Highland Park, Ill.",2013,"baseball"
"Zach Henderson","Greendale, Wis.",2013,"baseball"
"Matt Feldt","Festus, Mo.",2013,"baseball"
"Logan Pearson","Bentonville, Ark.",2013,"baseball"
"Brandon Baker","Lithonia, Ga.",2013,"baseball"
"Cole Bartlett","Williamsburg, Ind.",2013,"baseball"
"Peter Fairbanks","St. Louis, Mo.",2013,"baseball"
"Griffin Goodrich","Kirkwood, Mo.",2013,"baseball"
"John Miles","Columbia, Mo.",2013,"baseball"
"Andrew Schwaab","St. Charles, Mo.",2013,"baseball"
"Bryce Montes De Oca","Lawrence, Kan.",2013,"baseball"
"Lake Dabney","Driftwood, Texas",2013,"baseball"
"Austin Tribby","Springfield, Mo.",2013,"baseball"
"Ryan Lee","Grandview, Mo.",2013,"baseball"
"Brandon Mahovlich","Issaquah, Wash.",2013,"baseball"
"Jerry Houston","Dolton, Ill.",2015,"baseball"
"Brett Peel","St. Charles, Mo.",2015,"baseball"
"Shane Benes","Town and Country, Mo.",2015,"baseball"
"Case Munson","St. Charles, Mo.",2015,"baseball"
"Brett Bond","St. Louis, Mo.",2015,"baseball"
"Trey Harris","Powder Springs, Ga.",2015,"baseball"
"Logan Bone","Festus, Mo.",2015,"baseball"
"Ryan Howard","St. Charles, Mo.",2015,"baseball"
"Jace James","Oklahoma City, Ok.",2015,"baseball"
"Tanner Houck","Collinsville, Ill.",2015,"baseball"
"Jack Klages","St. Louis, Mo.",2015,"baseball"
"Breckin Williams","Oronogo, Mo.",2015,"baseball"
"Zach Lavy","Auxvasse, Mo.",2015,"baseball"
"Alex Del Rio","Munster, Ind.",2015,"baseball"
"Josh Lester","Columbus, Ga.",2015,"baseball"
"Alec Rash","Adel, Iowa",2015,"baseball"
"Jake Ivory","St. Charles, Mo.",2015,"baseball"
"Chris Akmon","Scottsdale, Ariz.",2015,"baseball"
"Reggie McClain","Duluth, Ga.",2015,"baseball"
"Jake Ring","Ingleside, Ill.",2015,"baseball"
"Nolan Gromacki","Smithville, Mo.",2015,"baseball"
"Liam Carter","Highland Park, Ill.",2015,"baseball"
"Zach Henderson","Greendale, Wis.",2015,"baseball"
"Matt Feldt","Festus, Mo.",2015,"baseball"
"Logan Pearson","Bentonville, Ark.",2015,"baseball"
"Brandon Baker","Lithonia, Ga.",2015,"baseball"
"Cole Bartlett","Williamsburg, Ind.",2015,"baseball"
"Peter Fairbanks","St. Louis, Mo.",2015,"baseball"
"Griffin Goodrich","Kirkwood, Mo.",2015,"baseball"
"John Miles","Columbia, Mo.",2015,"baseball"
"Andrew Schwaab","St. Charles, Mo.",2015,"baseball"
"Bryce Montes De Oca","Lawrence, Kan.",2015,"baseball"
