"Name","Hometown","Year","Sport"
"Demarcus Henderson","Waynesboro, MS",2013,"baseball"
"Alex Detz","San Luis Obispo, CA",2013,"baseball"
"Ben Bracewell","Chelsea, AL",2013,"baseball"
"Daryl Norris","Fairhope, AL",2013,"baseball"
"Derrick Armstrong","Columbia, TN",2013,"baseball"
"Jacob Robson","Windsor, Ont., Canada",2013,"baseball"
"Sam Frost","Hoover, AL",2013,"baseball"
"Tyler Fullerton","Murfreesboro, TN",2013,"baseball"
"C.T. Bradford","Pace, FL",2013,"baseball"
"Adam Frazier","Bishop, GA",2013,"baseball"
"Brett Pirtle","Tyler, TX",2013,"baseball"
"Jonathan Holder","Gulfport, MS",2013,"baseball"
"Matthew Britton","Cullman, AL",2013,"baseball"
"Nick Ammirati","Sparta, NJ",2013,"baseball"
"Chad Girodo","Hartselle, AL",2013,"baseball"
"Daniel Garner","Madison, AL",2013,"baseball"
"Jacob Lindgren","Bay St. Louis, MS",2013,"baseball"
"Luis Pollorena","Laredo, TX",2013,"baseball"
"Kyle Hann","Oakville, Ont., Canada",2013,"baseball"
"Brandon Woodruff","Wheeler, MS",2013,"baseball"
"Nick Flair","Belle Chasse, LA",2013,"baseball"
"Cody Brown","Biloxi, MS",2013,"baseball"
"John Marc Shelly","Germantown, TN",2013,"baseball"
"Mitch Slauter","Olathe, KS",2013,"baseball"
"Trevor Fitts","Helena, AL",2013,"baseball"
"Trey Porter","Hurley, MS",2013,"baseball"
"Preston Brown","Germantown, TN",2013,"baseball"
"Hunter Renfroe","Crystal Springs, MS",2013,"baseball"
"Wes Rea","Gulfport, MS",2013,"baseball"
"Zack Randolph","Amory, MS",2013,"baseball"
"Will Cox","Amory, MS",2013,"baseball"
"Anthony Anello","Roswell, GA",2013,"baseball"
"Wes Stokes","Collinsville, MS",2013,"baseball"
"Myles Gentry","Gulfport, MS",2013,"baseball"
"Ross Mitchell","Smyrna, TN",2013,"baseball"
"Kendall Graveman","Alexander City, AL",2013,"baseball"
"Evan Mitchell","Marietta, GA",2013,"baseball"
"Demarcus Henderson","Waynesboro, MS",2014,"baseball"
"Alex Detz","San Luis Obispo, CA",2014,"baseball"
"Ben Bracewell","Chelsea, AL",2014,"baseball"
"Daniel Garner","Madison, AL",2014,"baseball"
"Derrick Armstrong","Columbia, TN",2014,"baseball"
"Jacob Robson","Windsor, Ont., Canada",2014,"baseball"
"Gavin Collins","Lake Forest, CA",2014,"baseball"
"Joey Swinarski","Orlando, FL",2014,"baseball"
"C.T. Bradford","Pace, FL",2014,"baseball"
"Reid Humphreys","Brandon, MS",2014,"baseball"
"Brett Pirtle","Tyler, TX",2014,"baseball"
"Jonathan Holder","Gulfport, MS",2014,"baseball"
"Matthew Britton","Cullman, AL",2014,"baseball"
"Paul Young","Milton, FL",2014,"baseball"
"Seth Heck","Edmonds, WA",2014,"baseball"
"Brent Rooker","Germantown, TN",2014,"baseball"
"Jacob Lindgren","Bay St. Louis, MS",2014,"baseball"
"Jake Vickerson","Tuscsaloosa, AL",2014,"baseball"
"Kyle Hann","Oakville, Ont., Canada",2014,"baseball"
"Brandon Woodruff","Wheeler, MS",2014,"baseball"
"Dakota Hudson","Dunlap, TN",2014,"baseball"
"Cody Brown","Biloxi, MS",2014,"baseball"
"John Marc Shelly","Germantown, TN",2014,"baseball"
"Cody Walker","Columbus, GA",2014,"baseball"
"Trevor Fitts","Helena, AL",2014,"baseball"
"Vance Tatum","Olive Branch, MS",2014,"baseball"
"Preston Brown","Germantown, TN",2014,"baseball"
"Avery Geyer","Pensacola, FL",2014,"baseball"
"Wes Rea","Gulfport, MS",2014,"baseball"
"Zack Randolph","Amory, MS",2014,"baseball"
"Austin Sexton","Huntsville, AL",2014,"baseball"
"Will Cox","Amory, MS",2014,"baseball"
"Levi Mintz","Cedar Bluff, AL",2014,"baseball"
"Zac Houston","Poplarville, MS",2014,"baseball"
"Jacob Billingsley","Senatobia, MS",2014,"baseball"
"Lucas Laster","Lewisburg, TN",2014,"baseball"
"Myles Gentry","Gulfport, MS",2014,"baseball"
"Ross Mitchell","Smyrna, TN",2014,"baseball"
"Glenn Irby","Florence, AL",2014,"baseball"
"Dylan Ingram","Pike Road, AL",2014,"baseball"
"Jake Vickerson","Tuscsaloosa, AL",2015,"baseball"
"Luke Reynolds","Forest, MS",2015,"baseball"
"Paxton Stover","Ridgely, TN",2015,"baseball"
"Mike Smith","Franklin, TN",2015,"baseball"
"Jacob Robson","Windsor, Ont., Canada",2015,"baseball"
"Gavin Collins","Lake Forest, CA",2015,"baseball"
"Joey Swinarski","Orlando, FL",2015,"baseball"
"Ryan Gridley","Milton, GA",2015,"baseball"
"Reid Humphreys","Brandon, MS",2015,"baseball"
"John Holland","Johns Creek, GA",2015,"baseball"
"Cole Gordon","Tampa, Fla.",2015,"baseball"
"Matthew Britton","Cullman, AL",2015,"baseball"
"Josh Lovelady","Prattville, AL",2015,"baseball"
"Paul Young","Milton, FL",2015,"baseball"
"Seth Heck","Edmonds, WA",2015,"baseball"
"Brent Rooker","Germantown, TN",2015,"baseball"
"Matt Spruill","Burke, VA",2015,"baseball"
"Austin Sexton","Huntsville, AL",2015,"baseball"
"Jesse McCord","Spanish Fort, AL",2015,"baseball"
"Dakota Hudson","Dunlap, TN",2015,"baseball"
"Cody Brown","Biloxi, MS",2015,"baseball"
"Cody Walker","Columbus, GA",2015,"baseball"
"Trevor Fitts","Helena, AL",2015,"baseball"
"Vance Tatum","Olive Branch, MS",2015,"baseball"
"Preston Brown","Germantown, TN",2015,"baseball"
"Wes Rea","Gulfport, MS",2015,"baseball"
"Zack Randolph","Amory, MS",2015,"baseball"
"Aaron Dominguez","Chino Hills, CA",2015,"baseball"
"Trent Waddell","Tuscaloosa, AL",2015,"baseball"
"Logan Elliot","Dunwoody, GA",2015,"baseball"
"Levi Mintz","Cedar Bluff, AL",2015,"baseball"
"Zac Houston","Poplarville, MS",2015,"baseball"
"Jacob Billingsley","Senatobia, MS",2015,"baseball"
"Lucas Laster","Lewisburg, TN",2015,"baseball"
"Myles Gentry","Gulfport, MS",2015,"baseball"
"Ross Mitchell","Smyrna, TN",2015,"baseball"
"Daniel Brown","Mount Vernon, Texas",2015,"baseball"
"Hunter Stovall","Pelham, AL",2016,"baseball"
"Luke Reynolds","Forest, MS",2016,"baseball"
"Mike Smith","Franklin, TN",2016,"baseball"
"Luke Alexander","Belmont, MS",2016,"baseball"
"Jacob Robson","Windsor, Ont., Canada",2016,"baseball"
"Gavin Collins","Lake Forest, CA",2016,"baseball"
"Elih Marrero","Miami, FL",2016,"baseball"
"Ryan Gridley","Milton, GA",2016,"baseball"
"Reid Humphreys","Brandon, MS",2016,"baseball"
"John Holland","Johns Creek, GA",2016,"baseball"
"Cole Gordon","Tampa, Fla.",2016,"baseball"
"Jake Mangum","Pearl, Miss.",2016,"baseball"
"Josh Lovelady","Prattville, AL",2016,"baseball"
"Paul Young","Milton, FL",2016,"baseball"
"Keegan James","Southaven, Miss.",2016,"baseball"
"Brent Rooker","Germantown, TN",2016,"baseball"
"Jared Padgett","Graceville, FL",2016,"baseball"
"Austin Sexton","Huntsville, AL",2016,"baseball"
"Dakota Hudson","Dunlap, TN",2016,"baseball"
"Cody Brown","Biloxi, MS",2016,"baseball"
"Ryan Cyr","Leawood, KS",2016,"baseball"
"Ryan Rigby","Kosciusko, MS",2016,"baseball"
"Vance Tatum","Olive Branch, MS",2016,"baseball"
"Parker Ford","Lufkin, TX",2016,"baseball"
"Kale Breaux","Sulphur, La.",2016,"baseball"
"Jack Kruger","Calabasas, CA",2016,"baseball"
"Nathaniel Lowe","Marietta, GA",2016,"baseball"
"Trent Waddell","Tuscaloosa, AL",2016,"baseball"
"Logan Elliot","Dunwoody, GA",2016,"baseball"
"Zac Houston","Poplarville, MS",2016,"baseball"
"Blake Smith","Fort Payne, AL",2016,"baseball"
"Ethan Small","Lexington, Tenn.",2016,"baseball"
"Jacob Billingsley","Senatobia, MS",2016,"baseball"
"Trysten Barlow","Halls, Tenn.",2016,"baseball"
"Myles Gentry","Gulfport, MS",2016,"baseball"
"Konnor Pilkington","Hurley, MS",2016,"baseball"
"Daniel Brown","Mount Vernon, Texas",2016,"baseball"
"Noah Hughes","Jackson, MS",2016,"baseball"
"Tanner Poole","Amory, MS",2016,"baseball"
"Brant Blaylock","Southaven, MS",2016,"baseball"
"Hunter Stovall","Pelham, AL",2017,"baseball"
"Jacob Barton","Mangham, LA",2017,"baseball"
"Brant Blaylock","Southaven, MS",2017,"baseball"
"Luke Alexander","Belmont, MS",2017,"baseball"
"Dustin Skelton","Olive Branch, Miss.",2017,"baseball"
"Elih Marrero","Miami, FL",2017,"baseball"
"Ryan Gridley","Milton, GA",2017,"baseball"
"Tanner Poole","Amory, MS",2017,"baseball"
"Peyton Plumlee","Olive Branch, Miss",2017,"baseball"
"Riley Self","Coldwater, Miss.",2017,"baseball"
"Jake Mangum","Pearl, Miss.",2017,"baseball"
"Josh Lovelady","Prattville, AL",2017,"baseball"
"Drew Windham","Ocean Springs, MS",2017,"baseball"
"Keegan James","Southaven, Miss.",2017,"baseball"
"Brent Rooker","Germantown, TN",2017,"baseball"
"Denver McQuary","Houston, Miss.",2017,"baseball"
"Jared Padgett","Graceville, FL",2017,"baseball"
"Cole Gordon","Tampa, Fla.",2017,"baseball"
"Cody Brown","Biloxi, MS",2017,"baseball"
"Hayden Marze","Sunset, LA",2017,"baseball"
"Ryan Rigby","Kosciusko, MS",2017,"baseball"
"Hunter Vansau","Crawford, TX",2017,"baseball"
"Parker Ford","Lufkin, TX",2017,"baseball"
"Kale Breaux","Sulphur, La.",2017,"baseball"
"Trey Jolly","New Albany, MS",2017,"baseball"
"Harrison Bragg","Lakewood, WA",2017,"baseball"
"Elijah MacNamee","Cypress, Texas",2017,"baseball"
"Graham Ashcraft","Gurley, AL",2017,"baseball"
"Blake Smith","Fort Payne, AL",2017,"baseball"
"Ethan Small","Lexington, Tenn.",2017,"baseball"
"Jacob Billingsley","Senatobia, MS",2017,"baseball"
"Trysten Barlow","Halls, Tenn.",2017,"baseball"
"Konnor Pilkington","Hurley, MS",2017,"baseball"
"Andrew Mahoney","Daphne, AL",2017,"baseball"
"Noah Hughes","Jackson, MS",2017,"baseball"
"Spencer Price","Olive Branch, Miss.",2017,"baseball"
"Zach Neff","Belleville, IL",2018,"baseball"
"Rowdey Jordan","Auburn, Ala.",2018,"baseball"
"Tanner Allen","Theodore, Ala.",2018,"baseball"
"Luke Alexander","Belmont, MS",2018,"baseball"
"Dustin Skelton","Olive Branch, Miss.",2018,"baseball"
"Jordan Anderson","Madison, AL",2018,"baseball"
"Josh Hatcher","Albany, Ga.",2018,"baseball"
"Jordan Westburg","New Braunfels, Texas",2018,"baseball"
"Tanner Poole","Amory, MS",2018,"baseball"
"Hunter Stovall","Pelham, AL",2018,"baseball"
"Riley Self","Coldwater, Miss.",2018,"baseball"
"Jake Mangum","Pearl, Miss.",2018,"baseball"
"Justin Foscue","Huntsville, Ala.",2018,"baseball"
"Keegan James","Southaven, Miss.",2018,"baseball"
"Jared Liebelt","Aurora, Ill.",2018,"baseball"
"Denver McQuary","Houston, Miss.",2018,"baseball"
"Alex Pener","Overland Park, KS",2018,"baseball"
"Cole Gordon","Tampa, Fla.",2018,"baseball"
"Zane Stephens","Live Oak, FL",2018,"baseball"
"JP France","Lulling, LA",2018,"baseball"
"James Basham","Atlanta, GA",2018,"baseball"
"Cole Marsh","Monroe, La.",2018,"baseball"
"Hunter Vansau","Crawford, TX",2018,"baseball"
"Marshall Gilbert","Kenosha, Wis.",2018,"baseball"
"Elijah MacNamee","Cypress, Texas",2018,"baseball"
"Graham Ashcraft","Gurley, AL",2018,"baseball"
"Blake Smith","Fort Payne, AL",2018,"baseball"
"Kale Breaux","Sulphur, La.",2018,"baseball"
"Ethan Small","Lexington, Tenn.",2018,"baseball"
"Jacob Billingsley","Senatobia, MS",2018,"baseball"
"Trysten Barlow","Halls, Tenn.",2018,"baseball"
"Konnor Pilkington","Hurley, MS",2018,"baseball"
"Spencer Price","Olive Branch, Miss.",2018,"baseball"
"Gunner Halter","Overland Park, Kan.",2019,"baseball"
"JT Ginn","Brandon, Miss.",2019,"baseball"
"Rowdey Jordan","Auburn, Ala.",2019,"baseball"
"Tanner Allen","Theodore, Ala.",2019,"baseball"
